märus	Määrus
sadawa	saadawa
heina	heina
ja	ja
põllu	põllu
põhhu	põhu
södab	söödab
rentnik	rentnik
seal	seal
sammas	samas
tallus	talus
ärra	ära
ja	ja
jäb	jääb
sis	siis
sõnnik	sõnnik
ka	ka
senna	senna
kõik	Kõik
tallu	talu
honed	hooned
jäwad	jääwad
niheaste	niiheaste
rentnikul	rentnikul
kui	kui
ka	ka
rendile	rendile
andjal	andjal
kokku	kokku
prukida	pruukida
renti	Renti
maksab	maksab
rentnik	rentnik
ringenberg	Ringenberg
selle	selle
tallu	talu
est	eest
rendile	rendile
andjale	andjale
kaumannile	Kaumannile
1	1
aprillil	Aprillil
1906	1906
a.	a.
80	80
rubla	rubla
ja	ja
1	1
oktobril	Oktobril
1906	1906
a.	a.
80	80
rubla	rubla
ette	ette
kokku	kokku
160	160
rubla	rubla
astas	aastas
ja	ja
maksab	maksab
rentnik	rentnik
kõik	kõik
kohha	koha
maksud	maksud
wälja	wälja
arwatud	arwatud
tallu	talu
kredit	kredit
kassa	kassa
wõlla	wõla
intressi	intressi
rahha	raha
ja	ja
tulle	tule
kassa	kassa
rahha	raha
mis	mis
rendile	rendile
andja	andja
maksta	maksta
jäwad	jääwad
ja	ja
xxx	XXX
rentnik	rentnik
kõik	kõik
kohha	koha
järrele	järele
ollewad	olewad
orjused	orjused
selle	selle
asta	aasta
joksul	jooksul
se	See
leppimg	leppimg
sai	sai
peale	peale
sia	siia
ramatusse	raamatusse
sisse	sisse
kirjutamist	kirjutamist
selle	selle
teggijatele	tegijatele
sõnna	sõna
sõnalt	sõnalt
ette	ette
luetud	luetud
midda	mida
nemmad	nemad
alla	alla
300	300
rbl	rbl
wärt	wäärt
ja	ja
täiesti	täiesti
õigeks	õigeks
tunnistawad	tunnistawad
rendile	Rendile
andja	andja
m	M
kauman	Kauman
rendile	Rendile
wõtja	wõtja
a	A
ringenberg	Ringenberg
et	Et
ned	need
leppingu	leppingu
teggijad	tegijad
pallelikult	palelikult
tuntud	tuntud
sest	sest
sai	sai
wallakohtu	wallakohtu
seaduse	seaduse
1889	1889
a.	a.
i	II
282	282
põhjusel	põhjusel
otsuseks	Otsuseks
sedda	Seda
leppingut	leppingut
usutawaks	usutawaks
tunnistatud	tunnistatud
kohtu	Kohtu
lige	liige
m. weltman	M. Weltman
kirjutaja	Kirjutaja
xxx	XXX
astus	Astus
ette	ette
reio	Reio
metsasaks	metsasaks
oscar	Oscar
berger	Berger
pärnu	Pärnu
linna	linna
wallitsuse	walitsuse
nimmel	nimel
ja	ja
kaebas	kaebas
et	et
jan	Jaan
sar	Saar
reio	Reio
wallast	wallast
kes	kes
praegust	praegust
sindis	Sindis
ellab	elab
omma	oma
reius	Reius
olleva	oleva
karjamõisa	karjamõisa
erbachi	Erbachi
rendi	rendi
rahast	rahast
1882	1882
astal	aastal
20	20
rubla	rubla
ja	ja
ritterschafti	ritterschafti
maksusi	maksusi
5	5
rubla	rubla
summa	Summa
25	25
rubla	rubla
wõlga	wõlga
jänud	jäänud
ja	ja
2	2
peale	peale
selle	selle
1883	1883
astal	aastal
kui	kui
jan	Jaan
sar	Saar
selle	selle
rahha	raha
omma	oma
käest	käest
ärra	ära
antud	antud
leitud	leitud
kohha	koha
wasto	wasto
wõtmise	wõtmise
jures	juures
et	et
temma	tema
3	3
wakamad	wakamaad
sinna	sinna
kohha	koha
peale	peale
põldu	põldu
wähhem	wähem
teinud	teinud
on	on
kui	kui
kontraht	kontraht
sedda	seda
nõuab	nõuab
ja	ja
pärrib	pärib
linna	linna
wallitsus	walitsus
se	see
est	eest
45	45
rubla	rubla
3	3
ja	ja
peale	peale
selle	selle
on	on
jan	Jaan
sar	Saar
ka	ka
12	12
1	1
2	2
wakama	wakamaa
ruki	ruki
orrastest	orastest
2	2
1	1
2	2
wakamad	wakamaad
mahha	maha
teggemata	tegemata
jätnud	jätnud
ning	ning
10	10
wakamad	wakamad
ainult	ainult
mahha	maha
teinud	teinud
ning	ning
nõuab	nõuab
linn	linn
wallitsus	walitsus
se	see
2	2
1	1
2	2
wakama	wakamaa
est	eest
20	20
rbl	rbl
4	4
wel	Weel
on	on
jan	Jaan
sar	Saar
10	10
wakamad	wakamaad
heinamad	heinamaad
lastamata	laastamata
jätnud	jätnud
ja	ja
pärrib	pärib
linna	linna
wallitsus	walitsus
se	see
est	eest
80	80
rubla	rubla
selle	Selle
järgi	järgi
on	on
sis	siis
jan	Jaan
sarel	Saarel
170	170
rubla	rubla
omma	oma
rahha	raha
kahju	kahju
tasumiseks	tasumiseks
pärnu	Pärnu
linna	linna
wallitsusele	walitsusele
maksa	maksa
mis	mis
kog	Kog
kohut	Kohut
jan	Jaan
sar	Saar
käest	käest
wälja	wälja
nõuda	nõuda
pallub	palub
astus	Astus
ette	ette
jan	Jaan
sar	Saar
ja	ja
wastas	wastas
küssimise	küsimise
peale	peale
1	1
et	et
temma	tema
teades	teades
tal	tal
renti	renti
mitte	mitte
kopikutki	kopikutki
wõlga	wõlga
jänud	jäänud
ei	ei
olle	ole
ka	ka
ritteschafti	ritteschafti
maksu	maksu
mitte	mitte
2	2
3	3
wakama	wakamaa
põllu	põllu
pudus	puudus
olla	olla
temmal	temal
ka	ka
tundmata	tundmata
sest	sest
selle	selle
ossa	osa
mad	maad
mis	mis
temmale	temale
põllu	põllu
tegemiseks	tegemiseks
kätte	kätte
näidatud	näidatud
sanud	saanud
olla	olla
ta	ta
kõik	kõik
täielikult	täielikult
põlluks	põlluks
teinud	teinud
ja	ja
ülle	üle
ette	ette
säetud	säetud
piri	piiri
peale	peale
temma	tema
mitte	mitte
tehha	teha
wõinud	wõinud
3	3
2	2
1	1
2	2
wakamad	wakamaad
rukki	rukki
orast	orast
jänud	jäänud
ta	ta
sepärast	seepärast
mahha	maha
teggemata	tegemata
et	et
tal	tal
kewwadel	kewadel
se	see
ossa	osa
sõnnikut	sõnikut
pudunud	puudunud
ja	ja
kui	kui
ta	ta
süggisel	sügisel
selle	selle
2	2
1	1
2	2
wakama	wakamaa
peale	peale
orrase	orase
mahha	maha
teggemise	tegemise
tarwis	tarwis
sõnnikut	sõnikut
peale	peale
weddada	wedada
tahtnud	tahtnud
sis	siis
on	on
tedda	teda
linna	linna
wallitsuse	walitsuse
polt	poolt
ärra	ära
keldud	keeldud
mis	mis
ka	ka
metsasaks	metsasaks
tõssi	tõsi
ütles	ütles
ollewad	olewad
sest	sest
et	et
se	see
kontrahhe	kontrahe
ses	sees
lubbatud	lubatud
polle	pole
olnud	olnud
semne	seemne
teggemise	tegemise
sõnnikut	sõnikut
peale	peale
4	4
10	10
wakama	wakamaa
heinama	heinamaa
lastamise	laastamise
tarwidus	tarwidus
olla	olla
temmal	temal
nisamma	niisama
tundmata	tundmata
sest	sest
selle	selle
jao	jao
heinamad	heinamaad
mille	mille
pirid	piirid
temmale	temale
kätte	kätte
näidatud	näidatud
olla	olla
ta	ta
täiesti	täiesti
ärra	ära
puhhastanud	puhastanud
ja	ja
tegematta	tegematta
middagistki	midagistki
mitte	mitte
jätnud	jätnud
sai	Sai
arwatud	arwatud
et	Et
sab	saab
se	see
erbachi	Erbachi
põllu	põllu
kui	kui
ka	ka
heinama	heinamaa
pire	piire
17.	17.
octobril	Octobril
s	s
a.	a.
ühhe	ühe
sit	siit
kog	kog
kohtu	kohtu
likme	liikme
jures	juures
ollemisel	olemisel
ärra	ära
mõdetud	mõõdetud
ja	ja
peab	peab
jan	Jaan
sar	Saar
tullewa	tulewa
kohtu	kohtu
päewal	päewal
ka	ka
omma	oma
rendi	rendi
maksu	maksu
kwittungid	kwittungid
ja	ja
kontrahhe	kontrahe
lehhe	lehe
ühte	ühte
toma	tooma
wata	Waata
protokoll	protokoll
no	No
1.	1.
1885	1885
07.	07.
oktoobril	oktoobril
pudus	puudus
metsasaks	metsasaks
erbachil	Erbachil
23	23
nisamma	niisama
astus	Astus
ette	ette
sindist	Sindist
wira	Wiira
juhhan	Juhan
mitt	Mitt
ja	ja
kaebas	kaebas
et	et
temma	tema
ann	Ann
kantile	Kantile
ta	ta
palwe	palwe
peale	peale
ühhed	ühed
wodid	woodid
kolme	kolme
rubla	rubla
est	eest
teind	teind
ja	ja
nüd	nüüd
ann	Ann
kant	Kant
1	1
rubla	rubla
hõb	hõb
mitte	mitte
ärra	ära
maksa	maksa
ei	ei
tahta	tahta
astus	Astus
ette	ette
ann	Ann
kant	Kant
ja	ja
käemes	Käemees
nerju	Nerju
jakob	Jakob
hanson	Hanson
ja	ja
wastas	wastas
et	et
ned	need
wodid	woodid
polle	pole
mitte	mitte
wärwitud	wärwitud
olnud	olnud
ja	ja
selle	selle
pärast	pärast
temma	tema
sedda	seda
1	1
rubla	rubla
mitte	mitte
ei	ei
tahha	taha
maksa	maksa
mis	Mis
agga	aga
juhhan	Juhan
mitt	Mitt
mitte	mitte
kauba	kauba
ses	sees
ollevad	olevad
olnud	olnud
ütleb	ütleb
mõistus	Mõistus
ann	Ann
kant	Kant
peab	peab
1	1
rubla	rubla
hõb	hõb
8	8
päeva	päeva
pärast	pärast
juhhan	Juhan
mittile	Mittile
wälja	wälja
maksma	maksma
otsus	Otsus
ette	ette
loetud	loetud
wallakohtu	Wallakohtu
asjus	asjus
kindlaks	kindlaks
jänud	jäänud
i	ii
april	april
1885	1885
joh	Joh
mitt	Mitt
1	1
rubl	rubl
kätte	kätte
sanud	saanud
protokoll	Protokoll
no	No
136	136
asjus	asjus
astus	astus
ette	ette
jan	Jaan
jantson	Jantson
raisniko	Raisniko
tallu	talu
endine	endine
perremes	peremees
ja	ja
wastas	wastas
küssimise	küsimise
peale	peale
et	et
temma	tema
mitte	mitte
sedda	seda
ei	ei
teada	teada
et	et
ta	ta
koer	koer
minnewa	minewa
kewwadel	kewadel
hans	Hans
klasseni	Klaasseni
2	2
lamma	lamma
talle	talle
ärra	ära
murdnud	murdnud
on	on
sest	sest
et	et
ta	ta
sedda	seda
näinud	näinud
polle	pole
temmale	Temale
olla	olla
küll	küll
kahte	kahte
surnud	surnud
talle	talle
näidatud	näidatud
agga	aga
temma	tema
sedda	seda
mitte	mitte
teada	teada
mis	mis
läbbi	läbi
nad	nad
lõpnud	lõpnud
on	on
sai	Sai
mõistetud	mõistetud
et	Et
maksab	maksab
tunnistuse	tunnistuse
pohjusel	pohjusel
jan	Jaan
jantson	Jantson
omma	oma
koerast	koerast
ärra	ära
murtud	murtud
lammaste	lammaste
tasumiseks	tasumiseks
hans	Hans
klassenile	Klaassenile
8	8
päewa	päewa
pärast	pärast
4	4
rubla	rubla
nelli	neli
rubla	rubla
otsus	Otsus
kulutud	kuulutud
j	J
ndid	ndid
ärra	ära
õiendanud	õiendanud
astus	Astus
ette	ette
sindi	Sindi
mõisa	mõisa
rentnik	rentnik
wilhelm	Wilhelm
kracht	Kracht
ja	ja
kaebas	kaebas
et	et
sullase	sulase
kohha	koha
piddaja	pidaja
maddis	Madis
gantson	Gantson
1883	1883
asta	aasta
rendist	rendist
8.68	8.68
kopik	kopik
1884	1884
i.	I.
pol	pool
70.20	70.20
i.	II.
pol	pool
70.20	70.20
summas	Summas
149.08	149.08
kop	kop
wõlga	wõlga
jänud	jäänud
sellest	Sellest
agga	aga
poeg	poeg
56.60	56.60
kopik	kopik
mahha	maha
teninud	teeninud
ning	ning
praeguseks	praeguseks
92.48	92.48
kopik	kopik
wel	weel
wõlga	wõlga
olla	olla
mille	mille
sisse	sisse
nõudmiseks	nõudmiseks
kohut	kohut
appi	appi
pallub	palub
astus	Astus
ette	ette
maddis	Madis
gantson	Gantson
ja	ja
tunnistas	tunnistas
selle	selle
rendi	rendi
wõlla	wõla
summa	summa
õigeks	õigeks
ning	ning
pallub	palub
rentniku	rentniku
ennesega	enesega
selle	selle
wõlla	wõla
pärast	pärast
kannatada	kannatada
wõtta	wõtta
mis	mis
agga	aga
rentnik	rentnik
kracht	Kracht
ennesel	enesel
wõimata	wõimata
ütleb	ütleb
ollewad	olewad
sai	Sai
mõistetud	mõistetud
et	Et
sab	saab
home	hoome
13.	13.
octoobril	Octoobril
maddis	Madis
gantsoni	Gantsoni
warrandus	warandus
kohtu	kohtu
polt	poolt
ülles	üles
wõetud	wõetud
ja	ja
wõlla	wõla
tasumiseks	tasumiseks
kinni	kinni
pandud	pandud
otsus	Otsus
kulutud	kuulutud
wata	Waata
protokoll	protokoll
n144	N144
astus	Astus
ette	ette
sindi	Sindi
mõisa	mõisa
rentnik	rentnik
wilhelm	Wilhelm
kracht	Kracht
ja	ja
kaebas	kaebas
et	et
temma	tema
sullase	sulase
kohha	koha
piddaja	pidaja
mihkel	Mihkel
martin	Martin
i.	I.
pol	pool
1884	1884
asta	aasta
rendist	rendist
42	42
rubla	rubla
37	37
kopik	kopik
ja	ja
i.	II.
pol	pool
1884	1884
70	70
20	20
summaga	Summaga
112	112
rubla	rubla
57	57
kopik	kopik
wõlga	wõlga
jätnud	jätnud
ja	ja
kohut	kohut
selle	selle
wõlla	wõla
kätte	kätte
samiseks	saamiseks
appi	appi
pallub	palub
astus	Astus
ette	ette
mihkel	Mihkel
martin	Martin
ja	ja
tunnistas	tunnistas
sedda	seda
wõlga	wõlga
õigeks	õigeks
ning	ning
pallub	palub
et	et
rentnik	rentnik
wõtaks	wõtaks
selle	selle
wõlla	wõla
maksmisega	maksmisega
kannatada	kannatada
mis	mis
peale	peale
agga	aga
rentnik	rentnik
w.kracht	W.Kracht
wastas	wastas
et	et
temma	tema
mitte	mitte
ennam	enam
kannatada	kannatada
wõida	wõida
sai	Sai
mõistetud	mõistetud
et	Et
sab	saab
home	hoome
13.	13.
octoobril	Octoobril
s	s
a.	a.
koggukonna	kogukonna
kohtu	kohtu
polt	poolt
mihkel	Mihkel
martini	Martini
kram	kraam
ülles	üles
wõetud	wõetud
ja	ja
kinni	kinni
pandud	pandud
wata	Waata
protokoll	protokoll
144.	144.
astus	Astus
ette	ette
maddis	Madis
mitt	Mitt
ja	ja
andis	andis
üllesse	ülesse
et	et
temma	tema
jakob	Jakob
pahlile	Pahlile
8	8
asta	aasta
est	eest
pernu	Pernu
linna	linna
platsi	platsi
ostmiseks	ostmiseks
kolmsadda	kolmsada
rubla	rubla
laenanud	laenanud
on	on
ja	ja
sepärast	seepärast
et	et
jakob	Jakob
pahl	Pahl
isse	ise
jubba	juba
surnud	surnud
on	on
temma	tema
sedda	seda
ta	ta
pärrijate	pärijate
käest	käest
wälja	wälja
pärimiseks	pärimiseks
kohtu	kohtu
kirja	kirja
ülles	üles
wõtta	wõtta
pallub	palub
astus	Astus
ette	ette
rino	Riino
pahl	Pahl
ja	ja
ütles	ütles
selle	selle
maddis	Madis
mitti	Mitti
kolmsadda	kolmsada
rubla	rubla
laenu	laenu
pärrimise	pärimise
õigeks	õigeks
ja	ja
lubbas	lubas
eddaspiddi	edaspidi
kui	kui
se	see
tal	tal
wõimalik	wõimalik
sab	saab
ollema	olema
ärra	ära
maksa	maksa
sellega	Sellega
leppis	leppis
ka	ka
maddis	Madis
mitt	Mitt
maddis	Madis
mitt	Mitt
xxx	XXX
rino	Riino
pahl	Pahl
xxx	XXX
astus	Astus
ette	ette
sindi	Sindi
mõisa	mõisa
järgi	järgi
ollewa	olewa
pustuski	Pustuski
karja	karja
mõisa	mõisa
pima	piima
rentnik	rentnik
jurri	Juri
radik	Radik
ja	ja
pallus	palus
sedda	seda
protokolli	protokolli
wõtta	wõtta
et	et
temma	tema
on	on
omma	oma
assemel	asemel
reio	Reio
walla	walla
mehhe	mehe
jan	Jaan
sare	Saare
pustuski	Pustuski
mõisa	mõisa
sullase	sulase
kohha	koha
keskküla	Keskküla
peale	peale
perremeheks	peremeheks
pannud	pannud
ja	ja
temmale	temale
selle	selle
kohha	koha
piddamise	pidamise
tarwis	tarwis
laenanud	laenanud
ehk	ehk
sinna	sinna
warrasse	warasse
kannud	kannud
2	2
märra	mära
hobust	hobust
1	1
85	85
rubl	rubl
teine	teine
40	40
rubla	rubla
summa	Summa
125	125
rbl	rbl
wärt	wäärt
3	3
lehma	lehma
à	à
20	20
rubla	rubla
60	60
rubla	rubla
1	1
lehm	lehm
25.	25.
8	8
lammast	lammast
à	à
2	2
rbl	rbl
16.	16.
2	2
põrsast	põrsast
à	à
3	3
rbl	rbl
6.	6.
2	2
raudaksisega	raudaksisega
wankert	wankert
à	à
25	25
rbl	rbl
teine	teine
35.	35.
60.	60.
2	2
raudtud	raudtud
reggi	regi
à	à
3	3
rbl	rbl
6.	6.
summa	Summa
298	298
rbl	rbl
selle	Selle
tingimisega	tingimisega
et	et
temma	tema
iggal	igal
aeal	aeal
kui	kui
sedda	seda
tahhab	tahab
isse	ise
selle	selle
kohha	koha
peale	peale
hakkab	hakkab
ja	ja
peab	peab
jan	Jaan
sar	Saar
ned	need
nimmetud	nimetud
lomad	loomad
ja	ja
asjad	asjad
selles	selles
sammas	samas
seisuses	seisuses
jälle	jälle
sinna	sinna
kohha	koha
peale	peale
jätma	jätma
ehk	ehk
taggasi	tagasi
andma	andma
sest	sest
et	et
nad	nad
temma	tema
jurri	Juri
radiku	Raadiku
ommad	omad
on	on
astus	Astus
ette	ette
jan	Jaan
sar	Saar
ja	ja
tunnistas	tunnistas
sedda	seda
tõe	tõe
ollewad	olewad
et	et
jurri	Juri
radik	Raadik
tedda	teda
ennese	enese
assemele	asemele
selle	selle
nimmetud	nimetud
kohha	koha
peale	peale
perremeheks	peremeheks
pannud	pannud
ja	ja
ka	ka
neid	neid
nimmetud	nimetud
lomad	loomad
ja	ja
ajsad	ajsad
sinna	sinna
kohha	koha
pidamiseks	pidamiseks
annud	annud
jurri	Juri
radik	Raadik
xxx	XXX
jan	Jaan
sar	Saar
xxx	XXX
astus	Astus
ette	ette
sindi	Sindi
pustuski	Pustuski
mõisa	mõisa
järgi	järgi
ollewa	olewa
sullase	sulase
kohha	koha
piddaja	pidaja
juhhan	Juhan
oberpal	Oberpaal
kes	kes
58	58
astad	aastad
wanna	wana
ja	ja
uhlu	Uhlu
walla	walla
järgi	järgi
ja	ja
kaebas	kaebas
et	et
jakob	Jakob
ria	Riia
olla	olla
eila	eila
18.	18.
octbr	Octbr
sindi	Sindi
lada	laada
peal	peal
ilma	ilma
kõigewähema	kõigewähema
tüllita	tülita
jämmeda	jämeda
kepiga	kepiga
midda	mida
ta	ta
ria	Riia
käest	käest
ärra	ära
olli	oli
wõtnud	wõtnud
ja	ja
kohtu	kohtu
ette	ette
liggi	ligi
tonud	toonud
temmale	temale
pähha	päha
lües	lüües
pea	pea
lõhki	lõhki
weriseks	weriseks
lönud	löönud
mis	mis
sindi	Sindi
mes	mees
hans	Hans
sternfeldt	Sternfeldt
pealt	pealt
näinud	näinud
on	on
ja	ja
pallub	palub
temma	tema
kohut	kohut
sedda	seda
asja	asja
seadusliku	seadusliku
ülle	üle
kulamise	kuulamise
alla	alla
wõtta	wõtta
astus	Astus
ette	ette
hans	Hans
sternfeldt	Sternfeldt
sindi	Sindi
walla	walla
lut	lut
koliwanem	kooliwanem
ja	ja
tunnistas	tunnistas
et	et
eila	eila
pealelõunat	pealelõunat
olla	olla
jakob	Jakob
ria	Riia
sindi	Sindi
lada	laada
platsi	platsi
peal	peal
karli	Kaarli
nimmi	nimi
järrele	järele
küssides	küsides
juhhan	Juhan
oberpali	Oberpaali
kallale	kallale
kes	kes
temast	temast
mõnned	mõned
sammud	saammud
emal	eemal
seisnud	seisnud
kippunud	kippunud
essite	esite
nimmetud	nimetud
oberpali	Oberpaali
mütsi	mütsi
peas	peas
wiltu	wiltu
lükkanud	lükkanud
ja	ja
sis	siis
ühhe	ühe
kaunis	kaunis
jämmeda	jämeda
keppigga	keppiga
ühhe	ühe
wägga	wäga
ränga	ränga
hobi	hoobi
palja	palja
pea	pea
pihta	pihta
lönud	löönud
mis	mis
peale	peale
werri	weri
warsti	warsti
joksma	jooksma
hakkanud	hakkanud
on	on
mis	Mis
tülli	tüli
ehk	ehk
põhjuse	põhjuse
pärast	pärast
jakob	Jakob
ria	Riia
juhhan	Juhan
oberpali	Oberpaali
lönud	löönud
on	on
polle	pole
temma	tema
mitte	mitte
näinud	näinud
egga	ega
teada	teada
sedda	seda
ka	ka
mitte	mitte
tunnistada	tunnistada
jakob	Jakob
ria	Riia
kes	kes
sindi	Sindi
lada	laada
k	k
jadest	jadest
walla	walla
maeasse	maeasse
kinni	kinni
olli	oli
tudud	tuudud
sai	sai
ette	ette
kuntsutud	kuNtsutud
ja	ja
wastas	wastas
küssimise	küsimise
peale	peale
et	et
se	see
kepp	kepp
mis	mis
juhhan	Juhan
oberpal	Oberpaal
kohtu	kohtu
ette	ette
tonud	toonud
olli	oli
temma	tema
jakob	Jakob
ria	Riia
omma	oma
olla	olla
agga	aga
et	et
ta	ta
selle	selle
kepiga	kepiga
juhhan	Juhan
oberpali	Oberpaali
pea	pea
weriseks	weriseks
peksnud	peksnud
on	on
sedda	seda
ei	ei
teada	teada
ta	ta
waid	waid
wõida	wõida
se	see
sedda	seda
tunnistada	tunnistada
kes	kes
sedda	seda
näinud	näinud
on	on
sedda	Seda
teada	teada
temma	tema
küll	küll
et	et
ta	ta
on	on
eila	eila
sindi	Sindi
ladal	laadal
jobnuks	joobnuks
jänud	jäänud
ja	ja
omma	oma
wäsimusest	wäsimusest
lada	laada
platsi	platsi
serwa	serwa
peale	peale
puhkama	puhkama
heitnud	heitnud
kust	kust
juhhan	Juhan
oberpal	Oberpaal
tedda	teda
temmale	temale
jallaga	jalaga
wasto	wasto
palet	palet
lües	lüües
ja	ja
kindaid	kindaid
pärrides	pärides
ühhe	ühe
teise	teise
temmale	temale
tundmata	tundmata
mehhega	mehega
ülles	üles
ärratanud	äratanud
se	See
teine	teine
wõeras	wõeras
mes	mees
hakkanud	hakkanud
kohhe	kohe
temma	tema
taskusid	taskusid
läbbi	läbi
otsima	otsima
ja	ja
kui	kui
ta	ta
nende	nende
käest	käest
lahti	lahti
sanud	saanud
leidnud	leidnud
temma	tema
et	et
ta	ta
rahha	raha
kott	kott
ühhes	ühes
30	30
rubla	rubla
rahhaga	rahaga
taskust	taskust
ärra	ära
wõetud	wõetud
olnud	olnud
ja	ja
nõuab	nõuab
temma	tema
nüid	nüid
et	et
kohhus	kohus
peaks	peaks
juhhan	Juhan
oberpali	Oberpaali
käest	käest
selle	selle
wõera	wõera
mehhe	mehe
nimme	nime
wälja	wälja
pärrima	pärima
sest	sest
se	see
olla	olla
temma	tema
rahha	raha
ärra	ära
warrastanud	warastanud
rahha	Raha
olnud	olnud
tal	tal
kodust	kodust
liggi	ligi
wõetud	wõetud
25	25
rubla	rubla
lada	laada
peal	peal
sanud	saanud
killingi	Kilingi
mehhe	mehe
jan	Jaan
kask	Kask
käest	käest
5	5
rubla	rubla
ja	ja
ühhe	ühe
mustlase	mustlase
käest	käest
1	1
rubla	rubla
summa	Summa
31	31
rubla	rubla
sellest	sellest
annud	annud
1	1
rubla	rubla
wälja	wälja
ja	ja
30	30
rubla	rubla
olnud	olnud
wel	weel
järrele	järele
tunnistus	Tunnistus
selle	selle
