ilmusid	Ilmusid
wõlg	wõlg
1885	1885
astal	aastal
wõetud	wõetud
ja	ja
täht	täht
1888	1888
astal	aastal
kirjutatud	kirjutatud
kui	Kui
kohtu	kohtu
käijatel	käijatel
ennam	enam
middagi	midagi
ütlemist	ütlemist
ei	ei
olnud	olnud
sis	sis
teggi	tegi
kohhus	kohus
otsuseks	otsuseks
jakob	Jakob
parmak	Parmak
peab	peab
wõlla	wõla
kirja	kirja
järrele	järele
265	265
rbl	rbl
ja	ja
selle	selle
protsenti	protsenti
3	3
asta	aasta
est	eest
39	39
rbl	rbl
75	75
kop	kop
kokko	kokko
304	304
rbl	rbl
75	75
kop	kop
3	3
asta	aasta
josul	joosul
josep	Joosep
parmakule	Parmakule
wälja	wälja
maksma	maksma
se	see
on	on
1889	1889
astal	aastal
17nel	17nel
aprilli	Aprilli
ku	kuu
päewal	päewal
101	101
rbl	rbl
58	58
1	1
3	3
kop	kop
1890	1890
astal	aastal
januari	Jaanuari
kul	kuul
101	101
58	58
1	1
3	3
1891	1891
januari	Jaanuari
kul	kuul
101	101
rbl	rbl
58	58
1	1
3	3
se	See
otsus	otsus
l	L
t	T
s	S
773	773
ja	ja
774	774
perra	perra
kulutud	kuulutud
jakob	Jakob
parmak	Parmak
pallub	palub
suremat	suuremat
kohut	kohut
opusleht	Opusleht
wäljaantud	wäljaantud
sellsamal	sellsamal
päewal	päewal
