Ette	esi	esi	tte		S	adt
      	tul=nud	tul=nud	d		A	pl n
      	@tulnud	tule	nud		V	nud
      	tulnu	tulnu	d		S	pl n
kohtomehhe	####	####				
          	#kohtumehe	kohtu_mees	0		S	sg g
jurre	####	####				
     	#juurde	juurde	0		D	
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
kohtomehhega	####	####				
            	#kohtumehega	kohtu_mees	ga		S	sg kom
neid	neid	neid	0		S	sg n
    	@neid	see	d		P	pl p
    	tema	tema	d		P	pl p
ohre	####	####				
    	#otri	ohr	e		S	pl p
läind	####	####				
     	#läinud	mine	nd		V	nud
watama	####	####				
      	#vaatama	vaata	ma		V	ma
,	,	,			Z	
agga	####	####				
    	#aga	aga	0		J	
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
Risikambi	####	####				
         	#Risikambi	Risikambi	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
juhtund	####	####				
       	#juhtunud	juhtu	nd		V	nud
ka	ka	ka	0		D	
seal	@seal	seal	0		D	
    	siga	siga	l		A	sg ad
    	siga	siga	l		S	sg ad
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
mehhe	####	####				
     	#mehe	mees	0		S	sg g
jures	####	####				
     	juures	juur	s		S	sg in
     	juures	juures	0		D	
     	#juures	juures	0		K	
ollema	####	####				
      	#olema	ole	ma		V	ma
,	,	,			Z	
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
siis	@siis	siis	0		D	
    	siis	siis	0		J	
ühhes	####	####				
     	#ühes	ühes	0		D	
akkand	####	####				
      	#hakanud	hakka	nd		V	nud
minnema	####	####				
       	#minema	mine	ma		V	ma
,	,	,			Z	
kohtomees	####	####				
         	#kohtumees	kohtu_mees	0		S	sg n
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Kossas	####	####				
      	#Kossas	Kossas	0		H	sg n
ja	ja	ja	0		J	
se	####	####				
  	#see	see	0		P	sg n
Juhhan	####	####				
      	#Juhan	Juhhan	0		H	sg n
Otsman	####	####				
      	#Otsman	Otsman	0		H	sg n
,	,	,			Z	
ja	ja	ja	0		J	
ja	ja	ja	0		J	
Juhhani	####	####				
       	#Juhani	Juhhan	0		H	sg n
naene	####	####				
     	#naine	naine	0		S	sg n
ja	ja	ja	0		J	
se	####	####				
  	#see	see	0		P	sg n
warras	varras	varras	0		S	sg n
      	£varas	varas	0		S	sg n
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
Risikambi	####	####				
         	#Risikambi	Risikambi	0		H	sg n
,	,	,			Z	
agga	####	####				
    	#aga	aga	0		J	
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
neist	see	see	st		P	pl el
     	@neist	tema	st		P	pl el
kohhe	####	####				
     	#kohe	kohe	0		D	
möda	####	####				
    	mööda	mööda	0		K	
    	#mööda	mööda	0		D	
läind	####	####				
     	#läinud	mine	nd		V	nud
hobbosega	####	####				
         	#hobusega	hobune	ga		S	sg kom
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
söitnud	####	####				
       	#sõitnud	sõit	nud		V	nud
enne	@enne	enne	0		D	
    	enne	enne	0		K	
    	enne	enne	0		S	sg n
senna	senna	senna	0		S	sg g
     	senna	senna	0		S	sg n
     	£sinna	sinna	0		D	
kus	kus	kus	0		D	
need	need	see	d		P	pl n
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
ollid	####	####				
     	#olid	ole	id		V	sid
kohtomees	####	####				
         	#kohtumees	kohtu_mees	0		S	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
kül	####	####				
   	#küll	küll	0		D	
keland	####	####				
      	#keelanud	keela	nd		V	nud
agga	####	####				
    	#aga	aga	0		J	
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
kuland	####	####				
      	#kuulanud	kuula	nd		V	nud
,	,	,			Z	
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
need	need	see	d		P	pl n
hagganassed	####	####				
           	#aganased	aganane	d		A	pl n
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
matnud	mat=nud	mat=nud	0		A	
      	mat=nud	mat=nud	0		A	sg n
      	mat=nu	mat=nu	d		S	pl n
      	mat=nud	mat=nud	d		A	pl n
      	@matnud	mat	nud		V	nud
pöhho	####	####				
     	#põhu	põhk	0		S	sg g
sisse	sisse	sisse	0		D	
     	@sisse	sisse	0		K	
     	siss	siss	e		S	pl p
ja	ja	ja	0		J	
need	need	see	d		P	pl n
puhtad	puhtad	puhas	d		A	pl n
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
ollid	####	####				
     	#olid	ole	id		V	sid
wäilas	väil	väil	s		S	sg in
      	£väljas	väljas	0		D	
ja	ja	ja	0		J	
kohtomees	####	####				
         	#kohtumees	kohtu_mees	0		S	sg n
küssind	####	####				
       	#küsinud	küsi	nd		V	nud
kust	kusi	kusi	t		S	sg p
    	@kust	kust	0		D	
sa	sa	sina	0		P	sg n
need	need	see	d		P	pl n
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
wötsid	####	####				
      	#võtsid	võt	sid		V	sid
agga	####	####				
    	#aga	aga	0		J	
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
öölnud	####	####				
      	#öelnud	ütle	nud		V	nud
et	et	et	0		J	
need	need	see	d		P	pl n
on	ole	ole	0		V	b
  	@on	ole	0		V	vad
mo	####	####				
  	#mu	mina	0		P	sg g
omma	####	####				
    	oma	oma	0		P	sg g
    	on	ole	0		V	vad
    	#oma	oma	0		P	sg n
,	,	,			Z	
ja	ja	ja	0		J	
Hinrek	####	####				
      	#Hinrek	Hinrek	0		H	sg n
Risikambi	####	####				
         	#Risikambi	Risikambi	0		H	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
woind	####	####				
     	#võinud	või	nd		V	nud
ka	ka	ka	0		D	
ennem	ennem	ennem	0		C	sg n
     	@ennem	ennem	0		D	
tunnistada	tunnistada	tunnista	da		V	da
et	et	et	0		J	
need	need	see	d		P	pl n
wahhetüki	####	####				
         	#Vahetüki	Wahhetüki	0		H	sg g
reiest	reis	reis	st		S	sg el
      	£rehest	rehi	st		S	sg el
ollid	####	####				
     	#olid	ole	id		V	sid
todud	####	####				
     	#toodud	too	dud		V	tud
sest	see	see	st		P	sg el
    	@sest	sest	0		J	
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
aiaga	aed	aed	ga		S	sg kom
     	£ajaga	aeg	ga		S	sg kom
kui	kui	kui	0		D	
   	@kui	kui	0		J	
Hinrek	####	####				
      	#Hinrek	Hinrek	0		H	sg n
kotto	####	####				
     	#kodu	kodu	0		S	sg g
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
olli	####	####				
    	#oli	ole	i		V	s
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
peksnud	peks=nud	peks=nud	0		A	
       	peks=nud	peks=nud	0		A	sg n
       	peks=nu	peks=nu	d		S	pl n
       	peks=nud	peks=nud	d		A	pl n
       	@peksnud	peks	nud		V	nud
,	,	,			Z	
agganeed	####	####				
        	#aga_need	aga_see	d		P	pl n
hagganassed	####	####				
           	#aganased	aganane	d		A	pl n
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
mattis	mattis	mat	is		V	s
,	,	,			Z	
Leind	####	####				
     	#leidnud	leid	nd		V	nud
kohtomees	####	####				
         	#kohtumees	kohtu_mees	0		S	sg n
pöhho	####	####				
     	#põhu	põhk	0		S	sg g
seest	seest	seest	0		D	
     	@seest	seest	0		K	
üllesse	####	####				
       	üles	üles	0		D	
       	#ülesse	ülesse	0		D	
,	,	,			Z	
ja	ja	ja	0		J	
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
ütleb	ütleb	ütle	b		V	b
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
need	need	see	d		P	pl n
Habbajalt	####	####				
         	#Habajalt	Habbaja	lt		H	sg abl
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
naese	####	####				
     	#naise	naine	0		S	sg g
issa	####	####				
    	isa	isa	0		S	sg n
    	#isa	isa	0		S	sg g
    	isa	isa	0		S	sg p
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
toond	####	####				
     	#toonud	too	nd		V	nud
ja	ja	ja	0		J	
Juhhan	####	####				
      	#Juhan	Juhhan	0		H	sg n
Otsman	####	####				
      	#Otsman	Otsman	0		H	sg n
läind	####	####				
     	#läinud	mine	nd		V	nud
Habbajale	####	####				
         	#Habajale	Habbaja	le		H	sg all
ja	ja	ja	0		J	
toond	####	####				
     	#toonud	too	nd		V	nud
sealt	@sealt	sealt	0		D	
     	siga	siga	lt		A	sg abl
     	siga	siga	lt		S	sg abl
neid	neid	neid	0		S	sg n
    	@neid	see	d		P	pl p
    	tema	tema	d		P	pl p
ohre	####	####				
    	#otri	ohr	e		S	pl p
(	(	(			Z	
agga	####	####				
    	#aga	aga	0		J	
need	need	see	d		P	pl n
ollid	####	####				
     	#olid	ole	id		V	sid
opis	####	####				
    	#hoopis	hoopis	0		D	
teist	sina	sina	st		P	pl el
     	tee	tee	ist		S	pl el
     	teine	teine	t		O	sg p
     	@teist	teine	t		P	sg p
     	teist	teist	0		D	
wisi	####	####				
    	#viisi	viisi	0		D	
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
ja	ja	ja	0		J	
Juhan	Juhan	Juhhan	0		H	sg n
Otsmani	####	####				
       	#Otsmani	Otsman	0		H	sg g
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
ja	ja	ja	0		J	
need	need	see	d		P	pl n
agganassed	####	####				
          	#aganased	aganane	d		A	pl n
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
ollid	####	####				
     	#olid	ole	id		V	sid
just	@just	just	0		D	
    	just	just	0		I	
ühte	ühe	ühe	0		S	sg g
    	ühte	ühte	0		D	
    	üks	üks	0		N	adt
    	üks	üks	0		N	sg p
    	üks	üks	0		P	adt
    	@ühte	üks	0		P	sg p
modi	####	####				
    	#moodi	moodi	0		D	
.	.	.			Z	
Kohos	####	####				
     	#kohus	kohus	0		S	sg n
moistis	####	####				
       	#mõistis	mõist	is		V	s
et	et	et	0		J	
need	need	see	d		P	pl n
hagganassed	####	####				
           	#aganased	aganane	d		A	pl n
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
jäwad	####	####				
     	#jäävad	jää	vad		V	vad
Wahhetüki	####	####				
         	#Vahetüki	Wahhetüki	0		H	sg g
rentnikule	rentnikule	rentnik	le		S	sg all
,	,	,			Z	
ja	ja	ja	0		J	
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
maksab	maksab	maks	b		V	b
2	2	2	0		N	?
rubla	rubla	rubla	0		S	sg g
     	rubla	rubla	0		S	sg n
     	@rubla	rubla	0		S	sg p
trahwi	trahv	trahv	0		S	adt
      	trahv	trahv	0		S	sg g
      	trahv	trahv	0		S	sg p
      	trahvi	trahvi	0		V	o
      	trahvi	trahv	0		S	adt
      	@trahvi	trahv	0		S	sg p
      	trahvi	trahv	0		S	sg g
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
laeka	@laeka	laegas	0		S	adt
     	laegas	laegas	0		S	sg g
sepärrast	####	####				
         	#seepärast	see_pärast	0		D	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
need	need	see	d		P	pl n
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
mattis	mattis	mat	is		V	s
kui	kui	kui	0		D	
   	@kui	kui	0		J	
teised	teine	teine	d		O	pl n
      	@teised	teine	d		P	pl n
senna	senna	senna	0		S	sg g
     	senna	senna	0		S	sg n
     	£sinna	sinna	0		D	
läksid	läksid	mine	sid		V	sid
.	.	.			Z	
Kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
wannem	####	####				
      	vanem	vanem	0		C	sg n
      	#vanem	vanem	0		S	sg n
Mihkel	@Mihkel	Mihkel	0		H	sg n
      	mihkel	mihkel	0		A	sg n
      	mihkel	mihkel	0		S	sg n
Kaumann	####	####				
       	#Kauman	Kauman	0		H	sg n
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
Käemees	käemees	käe_mees	0		S	sg n
Pridik	####	####				
      	#Priidik	Pridik	0		H	sg n
Woldrat	####	####				
       	#Woldrat	Woldrat	0		H	sg n
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
ja	ja	ja	0		J	
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Warmann	####	####				
       	#Warmann	Warmann	0		H	sg n
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
Kirjutaia	kirju_taig	kirju_taig	0		S	sg g
         	£kirjutaja	kirjutaja	0		S	sg n
M. Lewet	####	####				
        	#M._Levet	M._Lewet	0		H	sg n
