No	no	no	0		I	
      	#olete	ole	de		V	te
kaltsakas	kaltsakas	kaltsakas	0		A	sg n
         	@kaltsakas	kaltsakas	0		S	sg n
         	kaltsakas	kaltsakas	s		A	sg in
         	kaltsakas	kaltsakas	s		S	sg in
,	,	,			Z	
agga	####	####				
    	#aga	aga	0		J	
ma	ma	mina	0		P	sg n
ollen	####	####				
     	#olen	ole	n		V	n
üks	üks	üks	0		N	sg n
   	@üks	üks	0		P	sg n
Mehhe	####	####				
     	#mehe	mees	0		S	sg g
nainne	####	####				
      	#naine	naine	0		S	sg n
.	.	.			Z	
Siis	@siis	siis	0		D	
    	siis	siis	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
Kotlep	####	####				
      	#Kotlep	Kotlep	0		H	sg n
rep	####	####				
   	#Repp	Rep	0		H	sg n
ütelnud	ütel=nud	ütel=nud	0		A	
       	ütel=nud	ütel=nud	0		A	sg n
       	ütel=nu	ütel=nu	d		S	pl n
       	ütel=nud	ütel=nud	d		A	pl n
       	@ütelnud	ütle	nud		V	nud
Marri	####	####				
     	#Mari	Marri	0		H	sg n
Udeküllalle	####	####				
           	#Uudeküllile	Udekül	le		H	sg all
,	,	,			Z	
sa	sa	sina	0		P	sg n
olled	####	####				
     	#oled	ole	d		V	d
lehma	lehm	lehm	0		S	adt
     	@lehma	lehm	0		S	sg g
     	lehm	lehm	0		S	sg p
Õdde	####	####				
    	#õde	õde	0		S	sg n
,	,	,			Z	
siis	@siis	siis	0		D	
    	siis	siis	0		J	
Marri	####	####				
     	#Mari	Marri	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ütelnud	ütel=nud	ütel=nud	0		A	
       	ütel=nud	ütel=nud	0		A	sg n
       	ütel=nu	ütel=nu	d		S	pl n
       	ütel=nud	ütel=nud	d		A	pl n
       	@ütelnud	ütle	nud		V	nud
Kudda	####	####				
     	#kuidas	kuidas	0		D	
ma	ma	mina	0		P	sg n
lehma	lehm	lehm	0		S	adt
     	@lehma	lehm	0		S	sg g
     	lehm	lehm	0		S	sg p
õdde	####	####				
    	#õde	õde	0		S	sg n
ollen	####	####				
     	#olen	ole	n		V	n
eks	@eks	eks	0		D	
   	eks	eks	0		Y	?
ma	ma	mina	0		P	sg n
olle	####	####				
    	#ole	ole	0		V	o
Mehhe	####	####				
     	#mehe	mees	0		S	sg g
nainnne	####	####				
       	#naine	naine	0		S	sg n
,	,	,			Z	
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
kargenud	####	####				
        	#karanud	karga	nud		V	nud
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
letti	lett	lett	0		S	adt
     	lett	lett	0		S	sg p
     	£leti	lett	0		S	sg g
taggast	####	####				
       	#tagant	tagast	0		K	
wälja	väli	väli	0		S	adt
     	väli	väli	0		S	sg g
     	väli	väli	0		S	sg p
     	@välja	välja	0		D	
     	välja	välja	0		V	o
     	välja	väli	0		S	adt
     	välja	väli	0		S	sg g
     	välja	väli	0		S	sg p
lükkanud	####	####				
        	#lükanud	lükka	nud		V	nud
Marri	####	####				
     	#Mari	Marri	0		H	sg n
ude	ude	ude	0		S	sg n
   	¤					
külla	küla	küla	0		S	adt
     	küll	küll	0		S	adt
     	küll	küll	0		S	sg g
     	küll	küll	0		S	sg p
     	¤					
poest	poest	pood	st		S	sg el
wälja	väli	väli	0		S	adt
     	väli	väli	0		S	sg g
     	väli	väli	0		S	sg p
     	@välja	välja	0		D	
     	välja	välja	0		V	o
     	välja	väli	0		S	adt
     	välja	väli	0		S	sg g
     	välja	väli	0		S	sg p
,	,	,			Z	
ja	ja	ja	0		J	
Marri	####	####				
     	#Mari	Marri	0		H	sg n
pea	pea	pea	0		D	
   	pea	pea	0		S	sg g
   	@pea	pea	0		S	sg n
   	pida	pida	0		V	o
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
läinud	läinud	läinud	0		A	
      	läinud	läinud	0		A	sg n
      	läinu	läinu	d		S	pl n
      	läinud	läinud	d		A	pl n
      	@läinud	mine	nud		V	nud
wasto	####	####				
     	vastu	vastu	0		D	
     	#vastu	vastu	0		K	
poe	@poe	pood	0		S	sg g
   	puge	puge	0		V	o
uksse	####	####				
     	#ukse	uks	0		S	sg g
piitta	####	####				
      	#piita	piit	0		S	sg p
ja	ja	ja	0		J	
Marril	####	####				
      	#Maril	Marri	0		H	sg ad
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
kaks	kaks	kaks	0		N	sg n
pabberid	####	####				
        	#paberit	paber	d		S	sg p
pihhus	####	####				
      	#pihus	pihk	s		S	sg in
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
teinne	####	####				
      	#teine	teine	0		P	sg n
kaddunud	####	####				
        	#kadunud	kadu	nud		V	nud
.	.	.			Z	
Siis	@siis	siis	0		D	
    	siis	siis	0		J	
kutsus	kutsu	kutsu	s		S	sg in
      	@kutsus	kutsu	s		V	s
kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
Kotlep	####	####				
      	#Kotlep	Kotlep	0		H	sg n
rebbi	####	####				
     	#Repi	Rep	0		H	sg g
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
ja	ja	ja	0		J	
küsis	küsis	küsi	s		V	s
Et	et	et	0		J	
kuidda	####	####				
      	#kuidas	kuidas	0		D	
sa	sa	sina	0		P	sg n
olled	####	####				
     	#oled	ole	d		V	d
Marrille	####	####				
        	#Marile	Marri	le		H	sg all
ütelnud	ütel=nud	ütel=nud	0		A	
       	ütel=nud	ütel=nud	0		A	sg n
       	ütel=nu	ütel=nu	d		S	pl n
       	ütel=nud	ütel=nud	d		A	pl n
       	@ütelnud	ütle	nud		V	nud
lehma	lehm	lehm	0		S	adt
     	@lehma	lehm	0		S	sg g
     	lehm	lehm	0		S	sg p
õdde	####	####				
    	#õde	õde	0		S	sg n
ja	ja	ja	0		J	
miks	miks	miks	0		D	
sa	sa	sina	0		P	sg n
ta	@ta	tema	0		P	sg g
  	tema	tema	0		P	sg n
wisksid	####	####				
       	#viskasid	viska	sid		V	sid
ta	@ta	tema	0		P	sg g
  	tema	tema	0		P	sg n
poest	poest	pood	st		S	sg el
wälja	väli	väli	0		S	adt
     	väli	väli	0		S	sg g
     	väli	väli	0		S	sg p
     	@välja	välja	0		D	
     	välja	välja	0		V	o
     	välja	väli	0		S	adt
     	välja	väli	0		S	sg g
     	välja	väli	0		S	sg p
,	,	,			Z	
Kotlep	####	####				
      	#Kotlep	Kotlep	0		H	sg n
rep	####	####				
   	#Repp	Rep	0		H	sg n
ütles	ütles	ütle	s		V	s
Ma	ma	mina	0		P	sg n
wiskasin	viskasin	viska	sin		V	sin
ta	@ta	tema	0		P	sg g
  	tema	tema	0		P	sg n
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
poest	poest	pood	st		S	sg el
wälja	väli	väli	0		S	adt
     	väli	väli	0		S	sg g
     	väli	väli	0		S	sg p
     	@välja	välja	0		D	
     	välja	välja	0		V	o
     	välja	väli	0		S	adt
     	välja	väli	0		S	sg g
     	välja	väli	0		S	sg p
,	,	,			Z	
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
mulle	@mulle	mina	lle		P	sg all
     	mulle	mulle	0		S	sg n
     	mull	mull	e		S	pl p
ütles	ütles	ütle	s		V	s
kaltsakas	kaltsakas	kaltsakas	0		A	sg n
         	@kaltsakas	kaltsakas	0		S	sg n
         	kaltsakas	kaltsakas	s		A	sg in
         	kaltsakas	kaltsakas	s		S	sg in
ja	ja	ja	0		J	
ma	ma	mina	0		P	sg n
ollin	####	####				
     	#olin	ole	in		V	n
ommas	####	####				
     	#omas	oma	s		P	sg in
majas	majas	maja	s		S	sg in
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
kauba	kauba	kaup	0		S	sg g
jurres	####	####				
      	#juures	juures	0		K	
et	et	et	0		J	
kudda	####	####				
     	#kuidas	kuidas	0		D	
ma	ma	mina	0		P	sg n
siis	@siis	siis	0		D	
    	siis	siis	0		J	
wõin	võin	või	n		V	n
kaltsakas	kaltsakas	kaltsakas	0		A	sg n
         	@kaltsakas	kaltsakas	0		S	sg n
         	kaltsakas	kaltsakas	s		A	sg in
         	kaltsakas	kaltsakas	s		S	sg in
olla	olla	ole	a		V	da
Mul	mul	mina	l		P	sg ad
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
jo	####	####				
  	#ju	ju	0		D	
  	juba	juba	0		D	
wiksid	@viksid	viks	d		A	pl n
      	viks	viks	d		S	pl n
      	viksi	viksi	d		V	d
riited	####	####				
      	#riided	riie	d		S	pl n
seljas	seljas	selg	s		S	sg in
et	et	et	0		J	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
igga	####	####				
    	#iga	iga	0		P	sg n
    	iga	iga	0		P	sg g
    	iga	iga	0		P	sg p
    	iga	iga	0		S	sg n
    	iga	iga	0		S	sg p
üks	üks	üks	0		N	sg n
   	@üks	üks	0		P	sg n
tulleb	####	####				
      	#tuleb	tule	b		V	b
ja	ja	ja	0		J	
ütlep	####	####				
     	#ütleb	ütle	b		V	b
mulle	@mulle	mina	lle		P	sg all
     	mulle	mulle	0		S	sg n
     	mull	mull	e		S	pl p
kaltsakas	kaltsakas	kaltsakas	0		A	sg n
         	@kaltsakas	kaltsakas	0		S	sg n
         	kaltsakas	kaltsakas	s		A	sg in
         	kaltsakas	kaltsakas	s		S	sg in
,	,	,			Z	
siis	siis	siis	0		D	
    	@siis	siis	0		J	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
woi	####	####				
   	või	või	0		S	sg n
   	või	või	0		S	sg g
   	või	või	0		J	
   	või	või	0		D	
   	#või	või	0		V	o
ma	ma	mina	0		P	sg n
Mitte	mitte	mitte	0		D	
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
kauba	kauba	kaup	0		S	sg g
jurres	####	####				
      	#juures	juures	0		K	
seista	@seista	seis	ta		V	da
      	seis	seis	ta		V	ta
.	.	.			Z	
Siis	@siis	siis	0		D	
    	siis	siis	0		J	
kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
küssis	####	####				
      	#küsis	küsi	s		V	s
Kotlep	####	####				
      	#Kotlep	Kotlep	0		H	sg n
reppi	####	####				
     	#Repi	Rep	0		H	sg g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
,	,	,			Z	
kas	kas	kas	0		D	
sa	sa	sina	0		P	sg n
ütlesid	ütlesid	ütle	sid		V	sid
Marrille	####	####				
        	#Marile	Marri	le		H	sg all
lehhma	####	####				
      	#lehma	lehm	0		S	sg g
õdde	####	####				
    	#õde	õde	0		S	sg n
,	,	,			Z	
rep	####	####				
   	#Repp	Rep	0		H	sg n
ütles	ütles	ütle	s		V	s
ja	ja	ja	0		J	
,	,	,			Z	
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
küssis	####	####				
      	#küsis	küsi	s		V	s
jälle	jälle	jälle	0		D	
Kotlep	####	####				
      	#Kotlep	Kotlep	0		H	sg n
reppikäest	####	####				
          	#Repi_käest	Rep_käest	0		K	
Kas	kas	kas	0		D	
sa	sa	sina	0		P	sg n
wiskasid	viskasid	viska	sid		V	sid
ta	@ta	tema	0		P	sg g
  	tema	tema	0		P	sg n
poest	poest	pood	st		S	sg el
wäljajaKotlep	####	####				
             	#välja_Kotlep	välja_Kotlep	0		H	sg n
ütles	ütles	ütle	s		V	s
ja	ja	ja	0		J	
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
küssis	####	####				
      	#küsis	küsi	s		V	s
kas	kas	kas	0		D	
sa	sa	sina	0		P	sg n
näggid	####	####				
      	#nägid	näge	id		V	sid
ta	@ta	tema	0		P	sg g
  	tema	tema	0		P	sg n
rahha	####	####				
     	raha	raha	0		S	sg g
     	#raha	raha	0		S	sg p
Rep	####	####				
   	#Repp	Rep	0		H	sg n
ütlles	####	####				
      	#ütles	ütle	s		V	s
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
mitte	mitte	mitte	0		D	
näinnud	####	####				
       	#näinud	näge	nud		V	nud
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
woib	####	####				
    	#võib	või	b		V	b
paljoki	####	####				
       	#paljugi	palju	0	gi	D	
ütleda	####	####				
      	#ütelda	ütle	da		V	da
agga	####	####				
    	#aga	aga	0		J	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
tea	tea	tead	0		V	o
kas	kas	kas	0		D	
tal	tal	tema	l		P	sg ad
olli	####	####				
    	#oli	ole	i		V	s
middagi	####	####				
       	#midagi	miski	da		P	sg p
woi	####	####				
   	või	või	0		S	sg n
   	või	või	0		S	sg g
   	#või	või	0		J	
   	või	või	0		D	
   	või	või	0		V	o
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olnnud	####	####				
      	#olnud	ole	nud		V	nud
.	.	.			Z	
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
küssis	####	####				
      	#küsis	küsi	s		V	s
Kotleb	####	####				
      	#Kotlep	Kotlep	0		H	sg n
rebbi	####	####				
     	#Repi	Rep	0		H	sg g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
kas	kas	kas	0		D	
sa	sa	sina	0		P	sg n
tahhat	####	####				
      	#tahad	taht	t		V	d
leppida	leppida	leppi	da		V	da
ja	ja	ja	0		J	
Ta	tema	tema	0		P	sg g
  	@tema	tema	0		P	sg n
sõimas	sõimas	sõima	s		V	s
mid	####	####				
   	#mind	mina	d		P	sg p
kaltsakast	kaltsakas	kaltsakas	st		A	sg el
          	kaltsakas	kaltsakas	st		S	sg el
          	£kaltsakaks	kaltsakas	st		S	sg tr
ja	ja	ja	0		J	
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
küssis	####	####				
      	#küsis	küsi	s		V	s
Marri	####	####				
     	#Mari	Marri	0		H	sg n
Udekülla	####	####				
        	#Uudekülli	Udekül	0		H	sg g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
Et	et	et	0		J	
kas	kas	kas	0		D	
tahhat	####	####				
      	#tahad	taht	t		V	d
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
leppida	leppida	leppi	da		V	da
,	,	,			Z	
Marri	####	####				
     	#Mari	Marri	0		H	sg n
ütles	ütles	ütle	s		V	s
kudda	####	####				
     	#kuidas	kuidas	0		D	
ma	ma	mina	0		P	sg n
wõin	võin	või	n		V	n
leppida	leppida	leppi	da		V	da
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
ütles	ütles	ütle	s		V	s
mulle	@mulle	mina	lle		P	sg all
     	mulle	mulle	0		S	sg n
     	mull	mull	e		S	pl p
halwat	####	####				
      	#halvad	halb	t		A	pl n
sannat	####	####				
      	#sõnad	sõna	d		S	pl n
ja	ja	ja	0		J	
lükkas	lükkas	lükka	s		V	s
mind	mind	mina	d		P	sg p
ja	ja	ja	0		J	
ma	ma	mina	0		P	sg n
sain	sain	saa	in		V	sin
haiged	haige	haige	d		A	pl n
      	haige	haige	d		S	pl n
      	£haiget	haige	d		A	sg p
ja	ja	ja	0		J	
jäin	jäin	jää	in		V	sin
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
rahhast	####	####				
       	#rahast	raha	st		S	sg el
ilma	ilm	ilm	0		S	adt
    	ilm	ilm	0		S	sg g
    	ilm	ilm	0		S	sg p
    	@ilma	ilma	0		D	
    	ilma	ilma	0		K	
.	.	.			Z	
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
küssis	####	####				
      	#küsis	küsi	s		V	s
Marri	####	####				
     	#Mari	Marri	0		H	sg n
Udekülla	####	####				
        	#Uudekülli	Udekül	0		H	sg g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
et	et	et	0		J	
kas	kas	kas	0		D	
sa	sa	sina	0		P	sg n
perri	####	####				
     	#pärid	päri	0		V	d
sedda	####	####				
     	#seda	see	da		P	sg p
rahha	####	####				
     	raha	raha	0		S	sg g
     	#raha	raha	0		S	sg p
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
kaddunud	####	####				
        	#kadunud	kadu	nud		V	nud
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
reppi	####	####				
     	#Repi	Rep	0		H	sg g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
ja	ja	ja	0		J	
Marri	####	####				
     	#Mari	Marri	0		H	sg n
ütles	ütles	ütle	s		V	s
et	et	et	0		J	
kuidda	####	####				
      	#kuidas	kuidas	0		D	
ma	ma	mina	0		P	sg n
woin	####	####				
    	#võin	või	n		V	n
sedda	####	####				
     	#seda	see	da		P	sg p
reppi	####	####				
     	#Repi	Rep	0		H	sg g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
pärrida	####	####				
       	#pärida	päri	da		V	da
egga	####	####				
    	#ega	ega	0		D	
    	ega	ega	0		J	
ma	ma	mina	0		P	sg n
sedda	####	####				
     	#seda	see	da		P	sg p
rahha	####	####				
     	raha	raha	0		S	sg g
     	#raha	raha	0		S	sg p
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
jattnud	####	####				
       	#jätnud	jät	nud		V	nud
reppi	####	####				
     	#Repi	Rep	0		H	sg g
letti	lett	lett	0		S	adt
     	lett	lett	0		S	sg p
     	£leti	lett	0		S	sg g
peälle	####	####				
      	#peale	peale	0		D	
,	,	,			Z	
et	et	et	0		J	
ma	ma	mina	0		P	sg n
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
wõin	võin	või	n		V	n
pärrida	####	####				
       	#pärida	päri	da		V	da
.	.	.			Z	
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
küssis	####	####				
      	#küsis	küsi	s		V	s
reppi	####	####				
     	#Repi	Rep	0		H	sg g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
et	et	et	0		J	
kas	kas	kas	0		D	
sa	sa	sina	0		P	sg n
lähhed	####	####				
      	#lähed	mine	d		V	d
teissi	####	####				
      	#teise	teine	0		P	adt
kohtto	####	####				
      	#kohtu	kohus	0		S	adt
,	,	,			Z	
et	et	et	0		J	
teie	sina	sina	0		P	pl g
    	£teie	sina	0		P	pl n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
tahha	####	####				
     	taha	taha	0		K	
     	taha	taha	0		D	
     	#taha	taht	0		V	o
leppida	leppida	leppi	da		V	da
,	,	,			Z	
ja	ja	ja	0		J	
Kotlep	####	####				
      	#Kotlep	Kotlep	0		H	sg n
rep	####	####				
   	#Repp	Rep	0		H	sg n
ütles	ütles	ütle	s		V	s
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
minna	mina	mine	a		V	da
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
lähhe	####	####				
     	#lähe	mine	0		V	o
,	,	,			Z	
ja	ja	ja	0		J	
kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
küssis	####	####				
      	#küsis	küsi	s		V	s
Marri	####	####				
     	#Mari	Marri	0		H	sg n
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
et	et	et	0		J	
kas	kas	kas	0		D	
sa	sa	sina	0		P	sg n
olled	####	####				
     	#oled	ole	d		V	d
sellega	sellega	see	ga		P	sg kom
rahhul	####	####				
      	rahul	rahu	l		S	sg ad
      	#rahul	rahul	0		D	
et	et	et	0		J	
rep	####	####				
   	#Repp	Rep	0		H	sg n
peap	####	####				
    	#peab	pida	b		V	b
maksma	maksma	maks	ma		V	ma
Maggasi	####	####				
       	#magasi	magas	0		S	sg g
laega	laad	laad	ga		S	sg kom
     	lagi	lagi	ga		S	sg kom
     	£laeka	laeka	0		S	adt
50	50	50	0		N	?
koppikat	####	####				
        	#kopikat	kopikas	t		S	sg p
,	,	,			Z	
sellepärrast	####	####				
            	#sellepärast	selle_pärast	0		D	
Et	et	et	0		J	
miks	miks	miks	0		D	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
sind	sind	sina	d		P	sg p
lükkas	lükkas	lükka	s		V	s
,	,	,			Z	
ja	ja	ja	0		J	
Marri	####	####				
     	#Mari	Marri	0		H	sg n
ütles	ütles	ütle	s		V	s
et	et	et	0		J	
egga	####	####				
    	#ega	ega	0		D	
    	ega	ega	0		J	
ma	ma	mina	0		P	sg n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
rubllatt	####	####				
        	#rublat	rubla	tt		S	sg p
illama	####	####				
      	¤					
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
tahha	####	####				
     	taha	taha	0		K	
     	taha	taha	0		D	
     	#taha	taht	0		V	o
jäda	####	####				
    	#jääda	jää	da		V	da
Ma	ma	mina	0		P	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
sellega	sellega	see	ga		P	sg kom
rahhul	####	####				
      	rahul	rahu	l		S	sg ad
      	#rahul	rahul	0		D	
ma	ma	mina	0		P	sg n
Kaepan	####	####				
      	#kaeban	kaeba	n		V	n
sedda	####	####				
     	#seda	see	da		P	sg p
surremasse	####	####				
          	#suuremasse	suurem	sse		C	sg ill
kohhto	####	####				
      	#kohtu	kohus	0		S	adt
ja	ja	ja	0		J	
kohhus	####	####				
      	kohus	kohu	s		V	s
