Kaebas	kaebas	kaeba	s		V	s
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
maksma	maksma	maks	ma		V	ma
.	.	.			Z	
(	(	(			Z	
Madli	####	####				
     	#Madli	Madli	0		H	sg n
Männart	####	####				
       	#Männart	Männart	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
minewa	mineva	minev	0		A	sg g
aasta	@aasta	aasta	0		S	sg g
     	aasta	aasta	0		S	sg n
mitto	####	####				
     	#mitu	mitu	0		P	sg n
käsko	####	####				
     	#käsku	käsk	0		S	sg p
sanud	####	####				
     	#saanud	saa	nud		V	nud
,	,	,			Z	
ja	ja	ja	0		J	
tännäwu	####	####				
       	#tänavu	tänavu	0		D	
süggise	####	####				
       	#sügise	sügis	0		S	sg g
ka	ka	ka	0		D	
mitte	mitte	mitte	0		D	
     	£mitu	mitu	0		P	sg n
käsko	####	####				
     	#käsku	käsk	0		S	sg p
külla	küla	küla	0		S	adt
     	küll	küll	0		S	adt
     	küll	küll	0		S	sg g
     	küll	küll	0		S	sg p
     	£küla	küla	0		S	sg g
kubjaga	####	####				
       	#kupjaga	kubjas	ga		S	sg kom
sanud	####	####				
     	#saanud	saa	nud		V	nud
)	)	)			Z	
.	.	.			Z	
Madli	####	####				
     	#Madli	Madli	0		H	sg n
Männart	####	####				
       	#Männart	Männart	0		H	sg n
sanud	####	####				
     	#saanud	saa	nud		V	nud
wihhaseks	####	####				
         	#vihaseks	vihane	ks		A	sg tr
ja	ja	ja	0		J	
üttelnud	####	####				
        	#ütelnud	ütle	nud		V	nud
et	et	et	0		J	
temal	temal	tema	l		P	sg ad
Maggasi	####	####				
       	#magasi	magas	0		S	sg g
wölga	####	####				
     	#võlga	võlg	0		S	sg p
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
,	,	,			Z	
Körgemä	####	####				
       	#Kõrgemäe	Körgemä	0		H	sg g
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Hergauk	####	####				
       	#Hergauk	Hergauk	0		H	sg n
olla	olla	ole	a		V	da
1869	1869	1869	0		N	?
aast	####	####				
    	#aast	aast	0		Y	?
.	.	.			Z	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
Maggasi	####	####				
       	#magasi	magas	0		S	sg g
wölla	####	####				
     	#võla	võlg	0		S	sg g
keik	####	####				
    	kõik	kõik	0		P	pl n
    	#kõik	kõik	0		P	sg n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
tassund	####	####				
       	#tasunud	tasu	nd		V	nud
.	.	.			Z	
Tallitaja	####	####				
         	#talitaja	talitaja	0		S	sg n
         	talitaja	talitaja	0		S	sg g
kaskind	kask_ind	kask_ind	0		S	sg n
       	£käskinud	käski	nd		V	nud
tedda	####	####				
     	#teda	tema	da		P	sg p
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
päwal	####	####				
     	#päeval	päev	l		S	sg ad
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
tulla	tulla	tule	a		V	da
,	,	,			Z	
et	et	et	0		J	
se	####	####				
  	#see	see	0		P	sg n
wölg	####	####				
    	#võlg	võlg	0		S	sg n
saab	saab	saa	b		V	b
siis	@siis	siis	0		D	
    	siis	siis	0		J	
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ees	ees	ees	0		D	
   	@ees	ees	0		K	
   	esi	esi	s		S	sg in
järrel	####	####				
      	järel	järel	0		D	
      	#järel	järel	0		K	
kulalatud	####	####				
         	#kuulatud	kuula	tud		V	tud
.	.	.			Z	
Madli	####	####				
     	#Madli	Madli	0		H	sg n
Männart	####	####				
       	#Männart	Männart	0		H	sg n
üttelnud	####	####				
        	#ütelnud	ütle	nud		V	nud
,	,	,			Z	
temmal	####	####				
      	#temal	tema	l		P	sg ad
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
Maggasisse	####	####				
          	#magasisse	magas	sse		S	sg ill
wölgo	####	####				
     	#võlgu	võlg	u		S	pl p
ja	ja	ja	0		J	
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
ka	ka	ka	0		D	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
tulle	tuli	tuli	0		S	adt
     	tull	tull	e		S	pl p
     	£tule	tule	0		V	o
.	.	.			Z	
Tallitaja	####	####				
         	#talitaja	talitaja	0		S	sg n
         	talitaja	talitaja	0		S	sg g
annud	####	####				
     	#andnud	and	nud		V	nud
siis	@siis	siis	0		D	
    	siis	siis	0		J	
külla	küla	küla	0		S	adt
     	küll	küll	0		S	adt
     	küll	küll	0		S	sg g
     	küll	küll	0		S	sg p
     	£küla	küla	0		S	sg g
kubjale	####	####				
       	#kupjale	kubjas	le		S	sg all
kässo	####	####				
     	#käsu	käsk	0		S	sg g
,	,	,			Z	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
Madli	####	####				
     	#Madli	Madli	0		H	sg n
Männartid	####	####				
         	#Männartit	Männart	d		H	sg p
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
päwal	####	####				
     	#päeval	päev	l		S	sg ad
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
peab	peab	pida	b		V	b
toma	####	####				
    	#tooma	too	ma		V	ma
.	.	.			Z	
Ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
kutsutud	kutsutud	kutsutud	0		A	
        	kutsutud	kutsutud	0		A	sg n
        	kutsutu	kutsutu	d		S	pl n
        	@kutsutud	kutsu	tud		V	tud
        	kutsutud	kutsutud	d		A	pl n
Madli	####	####				
     	#Madli	Madli	0		H	sg n
Männart	####	####				
       	#Männart	Männart	0		H	sg n
.	.	.			Z	
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
küssis	####	####				
      	#küsis	küsi	s		V	s
miks	miks	miks	0		D	
tema	tema	tema	0		P	sg g
    	@tema	tema	0		P	sg n
oma	oma	oma	0		A	sg g
   	oma	oma	0		A	sg n
   	oma	oma	0		A	sg p
   	oma	oma	0		D	
   	@oma	oma	0		P	sg g
   	oma	oma	0		P	sg n
   	oma	oma	0		P	sg p
   	oma	oma	0		S	sg g
   	oma	oma	0		S	sg n
   	oma	oma	0		S	sg p
   	oma	oma	0		V	o
Maggasi	####	####				
       	#magasi	magas	0		S	sg g
wölga	####	####				
     	#võlga	võlg	0		S	sg p
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
maksa	maks	maks	0		S	adt
     	maks	maks	0		S	sg g
     	maks	maks	0		S	sg p
     	@maksa	maks	0		V	o
ja	ja	ja	0		J	
ni	####	####				
  	#nii	nii	0		D	
mitto	####	####				
     	#mitu	mitu	0		P	sg n
käsko	####	####				
     	#käsku	käsk	0		S	sg p
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
sanud	####	####				
     	#saanud	saa	nud		V	nud
.	.	.			Z	
Madli	####	####				
     	#Madli	Madli	0		H	sg n
Männart	####	####				
       	#Männart	Männart	0		H	sg n
kostis	@kostis	kost	is		V	s
      	kost	kost	s		S	sg in
:	:	:			Z	
temmal	####	####				
      	#temal	tema	l		P	sg ad
Maggasisse	####	####				
          	#magasisse	magas	sse		S	sg ill
wölgo	####	####				
     	#võlgu	võlg	u		S	pl p
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
,	,	,			Z	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Hergauk	####	####				
       	#Hergauk	Hergauk	0		H	sg n
olla	olla	ole	a		V	da
1869	1869	1869	0		N	?
aastal	aastal	aasta	l		S	sg ad
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
Maggasi	####	####				
       	#magasi	magas	0		S	sg g
wölgo	####	####				
     	#võlgu	võlg	u		S	pl p
1	1	1	0		N	?
1	1	1	0		N	?
/	/	/			Z	
2	2	2	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
ohri	####	####				
    	#otri	ohr	i		S	pl p
1	1	1	0		N	?
/	/	/			Z	
2	2	2	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
rukkid	rukkid	rukis	d		S	pl n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
tassund	####	####				
       	#tasunud	tasu	nd		V	nud
.	.	.			Z	
Ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
kutsutud	kutsutud	kutsutud	0		A	
        	kutsutud	kutsutud	0		A	sg n
        	kutsutu	kutsutu	d		S	pl n
        	@kutsutud	kutsu	tud		V	tud
        	kutsutud	kutsutud	d		A	pl n
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Hergauk	####	####				
       	#Hergauk	Hergauk	0		H	sg n
.	.	.			Z	
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
küssis	####	####				
      	#küsis	küsi	s		V	s
paljo	####	####				
     	#palju	palju	0		D	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
Madli	####	####				
     	#Madli	Madli	0		H	sg n
Männarti	####	####				
        	#Männarti	Männart	0		H	sg g
eest	eest	eest	0		D	
    	@eest	eest	0		K	
    	esi	esi	st		S	sg el
Maggasisse	####	####				
          	#magasisse	magas	sse		S	sg ill
maksnud	maks=nud	maks=nud	0		A	
       	maks=nud	maks=nud	0		A	sg n
       	maks=nu	maks=nu	d		S	pl n
       	maks=nud	maks=nud	d		A	pl n
       	@maksnud	maks	nud		V	nud
.	.	.			Z	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Hergauk	####	####				
       	#Hergauk	Hergauk	0		H	sg n
ütles	ütles	ütle	s		V	s
tema	tema	tema	0		P	sg g
    	@tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
1869	1869	1869	0		N	?
aastal	aastal	aasta	l		S	sg ad
Madli	####	####				
     	#Madli	Madli	0		H	sg n
Männarti	####	####				
        	#Männarti	Männart	0		H	sg g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
ühhe	####	####				
    	ühe	ühe	0		S	sg n
    	#ühe	üks	0		N	sg g
    	ühe	üks	0		P	sg g
kersto	####	####				
      	#kirstu	kirst	0		S	sg g
ostnud	ost=nud	ost=nud	0		A	
      	ost=nud	ost=nud	0		A	sg n
      	ost=nu	ost=nu	d		S	pl n
      	ost=nud	ost=nud	d		A	pl n
      	@ostnud	ost	nud		V	nud
ja	ja	ja	0		J	
lubband	####	####				
       	#lubanud	luba	nd		V	nud
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
kersto	####	####				
      	#kirstu	kirst	0		S	sg g
eest	eest	eest	0		D	
    	@eest	eest	0		K	
    	esi	esi	st		S	sg el
2	2	2	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
ohri	####	####				
    	#otri	ohr	i		S	pl p
anda	anda	and	a		V	da
,	,	,			Z	
1	1	1	0		N	?
1	1	1	0		N	?
/	/	/			Z	
2	2	2	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
maksnud	maks=nud	maks=nud	0		A	
       	maks=nud	maks=nud	0		A	sg n
       	maks=nu	maks=nu	d		S	pl n
       	maks=nud	maks=nud	d		A	pl n
       	@maksnud	maks	nud		V	nud
Maggasisse	####	####				
          	#magasisse	magas	sse		S	sg ill
ja	ja	ja	0		J	
pool	pool	pool	0		K	
    	@pool	pool	0		N	sg n
    	pool	pool	0		S	sg n
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
annud	####	####				
     	#andnud	and	nud		V	nud
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
kätte	käsi	käsi	tte		S	adt
     	@kätte	kätte	0		K	
,	,	,			Z	
rukkid	rukkid	rukis	d		S	pl n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
maksnud	maks=nud	maks=nud	0		A	
       	maks=nud	maks=nud	0		A	sg n
       	maks=nu	maks=nu	d		S	pl n
       	maks=nud	maks=nud	d		A	pl n
       	@maksnud	maks	nud		V	nud
.	.	.			Z	
Kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
möistus	####	####				
       	#mõistus	mõistus	0		S	sg n
.	.	.			Z	
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
möistis	####	####				
       	#mõistis	mõist	is		V	s
et	et	et	0		J	
Madli	####	####				
     	#Madli	Madli	0		H	sg n
Männart	####	####				
       	#Männart	Männart	0		H	sg n
peab	peab	pida	b		V	b
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
walle	vall	vall	e		S	pl p
     	£vale	vale	0		S	sg g
eest	eest	eest	0		D	
    	@eest	eest	0		K	
    	esi	esi	st		S	sg el
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ees	ees	ees	0		D	
   	@ees	ees	0		K	
   	esi	esi	s		S	sg in
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
walletand	####	####				
         	#valetanud	valeta	nd		V	nud
ja	ja	ja	0		J	
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
Maggasi	####	####				
       	#magasi	magas	0		S	sg g
wölga	####	####				
     	#võlga	võlg	0		S	sg p
tühja	tühi	tühi	0		A	adt
     	tühi	tühi	0		A	sg g
     	tühi	tühi	0		A	sg p
     	£tühja	tühja	0		D	
tallitaja	####	####				
         	talitaja	talitaja	0		S	sg n
         	#talitaja	talitaja	0		S	sg g
wasto	####	####				
     	vastu	vastu	0		D	
     	#vastu	vastu	0		K	
taggasi	####	####				
       	#tagasi	tagasi	0		D	
       	tagasi	tagasi	0		K	
waielnd	####	####				
       	#vaielnud	vaidle	nd		V	nud
24	24	24	0		N	?
tunniks	tunniks	tund	ks		S	sg tr
tuhthonesse	####	####				
           	#tuhthoonesse	tuht_hoone	sse		S	sg ill
,	,	,			Z	
ja	ja	ja	0		J	
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
Maggasi	####	####				
       	#magasi	magas	0		S	sg g
wölg	####	####				
    	#võlg	võlg	0		S	sg n
peab	peab	pida	b		V	b
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
tullewa	####	####				
       	#tuleva	tulev	0		A	sg g
süggise	####	####				
       	#sügise	sügis	0		S	sg g
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
maksma	maksma	maks	ma		V	ma
.	.	.			Z	
Sai	@sai	saa	i		V	s
   	sai	sai	0		S	sg n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
trahw	trahv	trahv	0		S	sg n
kätte	@kätte	käsi	tte		S	adt
     	kätte	kätte	0		K	
.	.	.			Z	
Kohtowannem	####	####				
           	#kohtuvanem	kohtu_vanem	0		S	sg n
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Tiismann	####	####				
        	#Tiismann	Tiismann	0		H	sg n
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Kõrwasmehhed	####	####				
            	#kõrvamehed	kõrva_mees	d		S	pl n
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Wingelman	####	####				
         	#Wingleman	Wingelman	0		H	sg n
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Willard	####	####				
       	#Villard	Willard	0		H	sg n
+	+	+			Z	
+	+	+			Z	
+	+	+			Z	
,	,	,			Z	
Kirjotaja	####	####				
         	#kirjutaja	kirjutaja	0		S	sg n
         	kirjutaja	kirjutaja	0		S	sg g
Otto	Otto	Otto	0		H	sg g
    	@Otto	Otto	0		H	sg n
Martinoff	####	####				
         	#Martinoff	Martinoff	0		H	sg n
(	(	(			Z	
allkiri	allkiri	all_kiri	0		S	sg n
)	)	)			Z	
